"No.","Time","Source","Destination","Protocol","Length","Info"
"422","1.092394463","10.20.13.1","10.20.1.1","DNS","78","Standard query 0xbcf3 A ext2.temp-mail.org"
"436","1.117430043","10.20.1.1","10.20.13.1","DNS","126","Standard query response 0xbcf3 A ext2.temp-mail.org A 104.26.7.95 A 104.26.6.95 A 172.67.73.98"
"21969","71.107578734","10.20.13.1","10.20.1.1","DNS","78","Standard query 0xd09c Unknown (65) ext2.temp-mail.org"
"21971","71.124243689","10.20.1.1","10.20.13.1","DNS","168","Standard query response 0xd09c Unknown (65) ext2.temp-mail.org Unknown (65)"
"24242","78.255384141","10.20.13.1","10.20.1.1","DNS","94","Standard query 0xf66b A easylist-downloads.adblockplus.org"
"24243","78.255442430","10.20.13.1","10.20.1.1","DNS","94","Standard query 0x61bd Unknown (65) easylist-downloads.adblockplus.org"
"24244","78.268515674","10.20.1.1","10.20.13.1","DNS","94","Standard query response 0x61bd Unknown (65) easylist-downloads.adblockplus.org"
"24245","78.269120770","10.20.1.1","10.20.13.1","DNS","126","Standard query response 0xf66b A easylist-downloads.adblockplus.org A 104.97.76.219 A 104.97.76.225"
"40173","129.986539454","10.20.13.1","10.20.1.1","DNS","89","Standard query 0xbc1b AAAA connectivity-check.ubuntu.com"
"40174","129.986728734","10.20.1.1","10.20.13.1","DNS","425","Standard query response 0xbc1b AAAA connectivity-check.ubuntu.com AAAA 2620:2d:4002:1::198 AAAA 2001:67c:1562::24 AAAA 2620:2d:4002:1::196 AAAA 2001:67c:1562::23 AAAA 2620:2d:4000:1::23 AAAA 2620:2d:4000:1::2b AAAA 2620:2d:4000:1::2a AAAA 2620:2d:4000:1::22 AAAA 2620:2d:4000:1::96 AAAA 2620:2d:4000:1::98 AAAA 2620:2d:4000:1::97 AAAA 2620:2d:4002:1::197"
"87380","282.986639189","10.20.13.1","10.20.1.1","DNS","89","Standard query 0x3bc5 A connectivity-check.ubuntu.com"
"87381","282.986856817","10.20.1.1","10.20.13.1","DNS","281","Standard query response 0x3bc5 A connectivity-check.ubuntu.com A 185.125.190.98 A 185.125.190.18 A 185.125.190.97 A 91.189.91.97 A 91.189.91.49 A 91.189.91.48 A 91.189.91.96 A 185.125.190.96 A 91.189.91.98 A 185.125.190.48 A 185.125.190.49 A 185.125.190.17"
"93051","301.167687656","10.20.13.1","10.20.1.1","DNS","78","Standard query 0x9b4f A ext2.temp-mail.org"
"93060","301.183123995","10.20.1.1","10.20.13.1","DNS","126","Standard query response 0x9b4f A ext2.temp-mail.org A 104.26.7.95 A 172.67.73.98 A 104.26.6.95"
"114237","371.190559781","10.20.13.1","10.20.1.1","DNS","78","Standard query 0x836e Unknown (65) ext2.temp-mail.org"
"114247","371.208059970","10.20.1.1","10.20.13.1","DNS","168","Standard query response 0x836e Unknown (65) ext2.temp-mail.org Unknown (65)"
"132567","429.986752066","10.20.13.1","10.20.1.1","DNS","89","Standard query 0x87e6 AAAA connectivity-check.ubuntu.com"
"132568","429.986969311","10.20.1.1","10.20.13.1","DNS","425","Standard query response 0x87e6 AAAA connectivity-check.ubuntu.com AAAA 2620:2d:4002:1::196 AAAA 2620:2d:4000:1::23 AAAA 2620:2d:4000:1::22 AAAA 2620:2d:4000:1::96 AAAA 2620:2d:4000:1::2b AAAA 2620:2d:4000:1::98 AAAA 2001:67c:1562::23 AAAA 2620:2d:4000:1::97 AAAA 2001:67c:1562::24 AAAA 2620:2d:4002:1::198 AAAA 2620:2d:4000:1::2a AAAA 2620:2d:4002:1::197"
